Tanggal & Waktu,ID Struk,Tipe Penjualan,Nama Pelanggan,Nama Produk,Kategori,Jumlah Produk,Harga Produk,Metode Pembayaran
30-06-2024 23:18:00,ZVLYFRMB6DDDR,takeaway,ZVLYFRMB6DDDR,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 23:18:00,ZVLYFRMB6DDDR,takeaway,ZVLYFRMB6DDDR,Cireng Diagram,Light Meal,1,"19,000",non-tunai
30-06-2024 23:15:40,GD6YSZW4BJPRJ,onlineorder,GD6YSZW4BJPRJ,Kopi susu diagram - Strong,Coffee,2,"20,000",non-tunai
30-06-2024 22:48:20,9Y47FR6DZP68D,onlineorder,9Y47FR6DZP68D,Minuman kemasan 250ml - Matcha,Coffee,1,"22,000",non-tunai
30-06-2024 22:48:20,9Y47FR6DZP68D,onlineorder,9Y47FR6DZP68D,Chicken Katsudon,KATSU,1,"35,000",non-tunai
30-06-2024 22:48:03,VPGDCZDQ79DGB,onlineorder,VPGDCZDQ79DGB,Mushroom Salt and Pepper,Light Meal,1,"25,000",non-tunai
30-06-2024 22:29:06,9Y47FR6DZP784,dinein,lt2,Kopi susu diagram - Strong,Coffee,1,"20,000",non-tunai
30-06-2024 22:29:06,9Y47FR6DZP784,dinein,lt2,Coffee Cube Diagram,Coffee,1,"24,000",non-tunai
30-06-2024 22:29:06,9Y47FR6DZP784,dinein,lt2,Block Latte Diagram,Coffee,1,"24,000",non-tunai
30-06-2024 22:29:06,9Y47FR6DZP784,dinein,lt2,French Fries,Light Meal,1,"17,000",non-tunai
30-06-2024 21:41:05,JGDR3GR784VQL,dinein,lt2,Matcha Latte - Ice,Non Coffee,1,"18,000",tunai
30-06-2024 21:41:05,JGDR3GR784VQL,dinein,lt2,Cappuccino,Coffee,1,"20,000",tunai
30-06-2024 21:11:49,BMV8HGQBR7ZMP,dinein,Lt 2,Cappuccino,Coffee,2,"20,000",non-tunai
30-06-2024 21:11:49,BMV8HGQBR7ZMP,dinein,Lt 2,Manual Brew Seasonal,MANUAL BREW,1,"22,000",non-tunai
30-06-2024 21:11:49,BMV8HGQBR7ZMP,dinein,Lt 2,Tofu Salt n Pepper,Light Meal,1,"20,000",non-tunai
30-06-2024 21:05:29,NL9GHR49YJG69,dinein,Lt 2.. GITA,Tofu Salt n Pepper,Light Meal,1,"20,000",non-tunai
30-06-2024 21:05:29,NL9GHR49YJG69,dinein,Lt 2.. GITA,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 21:00:06,6GBJ3WJ4VNM6K,takeaway,6GBJ3WJ4VNM6K,Americano,Coffee,1,"18,000",tunai
30-06-2024 20:45:54,JGDR3GR784K76,onlineorder,JGDR3GR784K76,Banana Cinnamon French Toast,Light Meal,1,"25,000",non-tunai
30-06-2024 20:45:54,JGDR3GR784K76,onlineorder,JGDR3GR784K76,Fettuccine Carbonara,Spaghetti,1,"30,000",non-tunai
30-06-2024 20:45:33,ZVLYFRMB678WY,onlineorder,ZVLYFRMB678WY,Banana Cinnamon French Toast,Light Meal,1,"25,000",non-tunai
30-06-2024 20:45:33,ZVLYFRMB678WY,onlineorder,ZVLYFRMB678WY,Kampung Fried Rice - Sedang,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 20:45:33,ZVLYFRMB678WY,onlineorder,ZVLYFRMB678WY,Fish n chips,Light Meal,1,"30,000",non-tunai
30-06-2024 20:40:10,M8GQHGK6NPK49,dinein,Lt 2,Honey ginger with lemongrass,Coffee,1,"22,000",non-tunai
30-06-2024 20:40:10,M8GQHGK6NPK49,dinein,Lt 2,Mozarella Stick,Light Meal,1,"25,000",non-tunai
30-06-2024 20:27:24,L6K7CLZY4VBN9,dinein,lt2,Paket Crispy Chicken with Cheese sauce + lychee Yakult,MENU PAKET,1,"50,000",non-tunai
30-06-2024 20:27:24,L6K7CLZY4VBN9,dinein,lt2,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 20:15:28,YBMWF8RLJP4KY,dinein,Lt 2,Coffee Latte - Hot,Coffee,1,"20,000",non-tunai
30-06-2024 20:15:28,YBMWF8RLJP4KY,dinein,Lt 2,French Fries,Light Meal,1,"17,000",non-tunai
30-06-2024 20:13:26,7B4RFJNMZVW8Q,dinein,DI ATAS,Chicken Karaage Salad,Salad,1,"27,000",non-tunai
30-06-2024 20:13:26,7B4RFJNMZVW8Q,dinein,DI ATAS,Chicken Black pepper,Teriyaki Rice,1,"27,500",non-tunai
30-06-2024 20:13:26,7B4RFJNMZVW8Q,dinein,DI ATAS,Matcha Latte - Ice,Non Coffee,1,"18,000",non-tunai
30-06-2024 20:13:26,7B4RFJNMZVW8Q,dinein,DI ATAS,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 20:13:26,7B4RFJNMZVW8Q,dinein,DI ATAS,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 20:03:16,8846HKW9V7K76,dinein,RENDI,Mie Tek-Tek - Rebus,Fried Rice & Noodle,1,"22,000",tunai
30-06-2024 19:57:26,JGDR3GR784Z6J,dinein,JGDR3GR784Z6J,Coffee Latte - Hot,Coffee,1,"20,000",tunai
30-06-2024 19:24:14,JGDR3GR788W6Y,dinein,JGDR3GR788W6Y,Mie Statistika Bisnis,MEE TIME,1,"20,000",non-tunai
30-06-2024 19:24:14,JGDR3GR788W6Y,dinein,JGDR3GR788W6Y,Nasi Putih,Additional,1,"6,000",non-tunai
30-06-2024 19:22:59,ZVLYFRMB66J6K,dinein,ZVLYFRMB66J6K,Kampung Fried Rice - Tidak Pedas,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 19:22:59,ZVLYFRMB66J6K,dinein,ZVLYFRMB66J6K,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 19:21:50,WP9KCMKLYY7PG,dinein,lt1,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 19:21:50,WP9KCMKLYY7PG,dinein,lt1,Kampung Fried Rice - Pedas,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 18:55:41,9Y47FR6DZZM6L,onlineorder,9Y47FR6DZZM6L,Spagetti Pesto Smoked Beef,Spaghetti,1,"27,500",non-tunai
30-06-2024 18:43:08,NL9GHR49YYJYP,dinein,NL9GHR49YYJYP,Beef Mushroom,Teriyaki Rice,1,"35,000",non-tunai
30-06-2024 18:31:37,BMV8HGQBRR6ML,onlineorder,BMV8HGQBRR6ML,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 18:30:30,RQ7Z2784YYZQB,dinein,RQ7Z2784YYZQB,Rice Chicken Katsu Mentai,Curry,1,"28,000",non-tunai
30-06-2024 18:27:47,BMV8HGQBRR6VW,dinein,Lt 2,Coffee Latte - Ice,Coffee,2,"20,000",tunai
30-06-2024 18:27:47,BMV8HGQBRR6VW,dinein,Lt 2,Sausage French Fries,Light Meal,1,"27,500",tunai
30-06-2024 18:25:30,BMV8HGQBRRQLN,dinein,Lt 2,Banana Cinnamon French Toast,Light Meal,1,"25,000",non-tunai
30-06-2024 18:25:30,BMV8HGQBRRQLN,dinein,Lt 2,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 18:16:59,9Y47FR6DZZ4PJ,onlineorder,9Y47FR6DZZ4PJ,Banana Cinnamon French Toast,Light Meal,1,"25,000",non-tunai
30-06-2024 18:16:59,9Y47FR6DZZ4PJ,onlineorder,9Y47FR6DZZ4PJ,Calamari,Light Meal,1,"27,500",non-tunai
30-06-2024 18:16:59,9Y47FR6DZZ4PJ,onlineorder,9Y47FR6DZZ4PJ,Moroco Mint,Non Coffee,1,"22,000",non-tunai
30-06-2024 18:05:47,L6K7CLZY44W9P,dinein,Lt 2,Mie Statistika Bisnis,MEE TIME,2,"20,000",tunai
30-06-2024 18:05:47,L6K7CLZY44W9P,dinein,Lt 2,Ebi Furai Curry,Curry,1,"35,000",tunai
30-06-2024 18:05:47,L6K7CLZY44W9P,dinein,Lt 2,Mineral Water,Non Coffee,1,"10,000",tunai
30-06-2024 18:04:22,GD6YSZW4BBYNM,dinein,Lt 2,Mango Yuogi,Signature drinks,1,"20,000",tunai
30-06-2024 18:04:22,GD6YSZW4BBYNM,dinein,Lt 2,Caramel Machiato - Hot,Coffee,1,"22,000",tunai
30-06-2024 17:53:39,QDLVSLGQVVL6P,takeaway,QDLVSLGQVVL6P,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 17:53:39,QDLVSLGQVVL6P,takeaway,QDLVSLGQVVL6P,Kopi susu diagram - Strong,Coffee,1,"20,000",non-tunai
30-06-2024 17:11:24,P7WL2PJLN6DMV,dinein,lt2,Coffee Latte - Hot,Coffee,1,"20,000",non-tunai
30-06-2024 17:03:34,D84KHVY4GJPNG,takeaway,D84KHVY4GJPNG,Kopi susu diagram - Creamy,Coffee,1,"20,000",tunai
30-06-2024 17:03:34,D84KHVY4GJPNG,takeaway,D84KHVY4GJPNG,Matcha Latte - Ice,Non Coffee,1,"18,000",tunai
30-06-2024 16:43:43,YBMWF8RLJQZYB,takeaway,YBMWF8RLJQZYB,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 16:32:07,6GBJ3WJ4VBNGK,onlineorder,6GBJ3WJ4VBNGK,Kampung Fried Rice - Sedang,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 16:32:07,6GBJ3WJ4VBNGK,onlineorder,6GBJ3WJ4VBNGK,Cherry bomb bliss,Fresh fruity,1,"22,000",non-tunai
30-06-2024 16:31:58,WP9KCMKLY6Q77,onlineorder,WP9KCMKLY6Q77,Chicken Teriyaki,Teriyaki Rice,2,"27,500",non-tunai
30-06-2024 16:31:58,WP9KCMKLY6Q77,onlineorder,WP9KCMKLY6Q77,Kopi susu diagram - Strong,Coffee,1,"20,000",non-tunai
30-06-2024 16:31:49,M8GQHGK6NQPZQ,onlineorder,M8GQHGK6NQPZQ,Rice Chicken Katsu Mentai,Curry,1,"28,000",non-tunai
30-06-2024 16:31:49,M8GQHGK6NQPZQ,onlineorder,M8GQHGK6NQPZQ,Oglio Olio - Oglio Olio Beef,Spaghetti,1,"25,000",non-tunai
30-06-2024 16:31:49,M8GQHGK6NQPZQ,onlineorder,M8GQHGK6NQPZQ,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
